date,water_level,,,,,,,,
4/16/81,84.62,,,,,,,,
4/16/82,88.12,,,,,,,,
4/22/83,60.94,,,,,,,,
5/12/84,79.66,,,,,,,,
4/6/85,70.1,,,,,,,,
4/11/86,58.37,,,,,,,,
4/24/87,98.8,,,,,,,,
4/1/88,76.22,,,,,,,,
3/31/89,87.68,,,,,,,,
4/27/90,81.38,,,,,,,,
4/8/91,52.43,,,,,,,,
3/31/92,51.36,,,,,,,,
4/5/93,56.13,,,,,,,,
9/13/94,99.87,,,,,,,,
5/25/95,61.35,,,,,,,,
3/27/96,64.08,,,,,,,,
3/24/97,69.33,,,,,,,,
4/1/98,69.75,,,,,,,,
4/20/99,67.81,,,,,,,,
4/8/00,72.28,,,,,,,,
3/29/01,68.58,,,,,,,,
8/25/01,142.39,,,,,,,,
8/25/01,141.78,,,,,,,,
2/20/02,69.27,,,,,,,,
2/24/03,69.61,,,,,,,,
3/3/04,81.78,,,,,,,,
3/2/05,79.28,,,,,,,,
2/23/06,79.84,,,,,,,,
3/27/07,76.43,,,,,,,,
11/20/07,103.42,,,,,,,,
2/15/08,86.76,,,,,,,,
5/14/08,87.73,,,,,,,,
8/29/08,138.44,,,,,,,,
10/8/08,112.88,,,,,,,,
11/12/08,103.4,,,,,,,,
2/13/09,88.1,,,,,,,,
3/24/09,84.1,,,,,,,,
4/7/09,84.41,,,,,,,,
5/21/09,86.54,,,,,,,,
8/9/09,135.13,,,,,,,,
8/11/09,308.4,,,,,,,,
8/11/09,153.9,,,,,,,,
8/25/09,119.35,,,,,,,,
9/1/09,132.15,,,,,,,,
9/1/09,125.27,,,,,,,,
9/1/09,124.7,,,,,,,,
10/7/09,127.32,,,,,,,,
11/17/09,85.47,,,,,,,,
12/1/09,82.62,,,,,,,,
2/22/10,75.45,,,,,,,,
3/5/10,73.73,,,,,,,,
4/1/10,72.56,,,,,,,,
5/11/10,78.96,,,,,,,,
5/26/10,74.23,,,,,,,,
6/2/10,74.64,,,,,,,,
6/9/10,75.58,,,,,,,,
6/16/10,74.42,,,,,,,,
6/24/10,95.36,,,,,,,,
7/2/10,128.27,,,,,,,,
8/11/10,115.76,,,,,,,,
8/27/10,133.42,,,,,,,,
10/21/10,112.21,,,,,,,,
11/2/10,91.73,,,,,,,,
11/6/10,87.78,,,,,,,,
12/2/10,82.18,,,,,,,,
1/4/11,80.93,,,,,,,,
2/2/11,76.67,,,,,,,,
2/9/11,76.34,,,,,,,,
2/22/11,75.71,,,,,,,,
4/4/11,74.38,,,,,,,,
5/12/11,77.22,,,,,,,,
6/2/11,99.51,,,,,,,,
6/21/11,119.34,,,,,,,,
6/30/11,136.01,,,,,,,,
6/30/11,133,,,,,,,,
6/30/11,129.87,,,,,,,,
8/25/11,142.39,,,,,,,,
12/1/11,107.79,,,,,,,,
12/21/11,104.38,,,,,,,,
1/24/12,100.52,,,,,,,,
2/24/12,98.62,,,,,,,,
3/23/12,100.87,,,,,,,,
4/3/12,101.05,,,,,,,,
5/7/12,101.95,,,,,,,,
6/20/12,160.8,,,,,,,,
8/14/12,165.54,,,,,,,,
8/14/12,162.48,,,,,,,,
9/20/12,161.28,,,,,,,,
11/21/12,129.3,,,,,,,,
12/3/12,125.28,,,,,,,,
3/19/13,109.14,,,,,,,,
5/23/13,115.13,,,,,,,,
6/13/13,141.4,,,,,,,,
8/15/13,167.32,,,,,,,,
8/15/13,302.25,,,,,,,,
11/19/13,157.04,,,,,,,,
11/19/13,155.83,,,,,,,,
3/20/14,119.3,,,,,,,,
7/23/14,162.32,,,,,,,,
10/16/14,164.15,,,,,,,,
3/10/15,118.66,,,,,,,,
5/20/15,118.62,,,,,,,,
10/16/15,155.6,,,,,,,,
3/7/16,116.7,,,,,,,,
10/18/16,173.79,,,,,,,,
3/14/17,130.77,,,,,,,,
10/16/17,185.33,,,,,,,,
3/13/18,138.89,,,,,,,,
7/31/18,160,,,,,,,,
10/16/18,169.22,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,