date,wat_temp,air_T,conductance,DO,pH,CO2,Carbonate,bicarbonate,NH3_n,NO4_n,P,hardenss,Calcium,Mg,Na,K,Cl,SO4,Fl,SiO2,alka-,solids,NH3,NO4,conduct
9/15/08 14:30,26,38.4,1320,1.3,7.5,9.1,,,0.41,0.004,0.018,344,105,19.3,173,5.23,17.6,508,0.18,34.6,,972,0.529,0.088,1320
9/15/08 14:40,,,,,,,,,,,,,,,,,,,,,,,,,
9/15/08 14:40,,,,,,,,,,,,,,,,,,,,,,,,,
9/20/12 10:00,25.5,27,1310,0.8,7.6,7.9,,,0.41,0.009,0.022,354,108,19.9,174,4.79,18.3,525,0.14,35.6,,977,0.531,0.138,1340
9/20/12 10:10,,,,,,,,,,,,,,,,,,,,,,,,,
9/20/12 10:10,,,,,,,,,,,,,,,,,,,,,,,,,
7/23/13 10:40,25.8,30.4,1340,,7.4,11,0.4,180,,,,,,,,,,,,,148,,,,
9/24/13 9:45,25.6,26,1340,,7.4,11,0.4,182,0.39,0.009,0.018,363,112,20.1,159,5.12,18.1,538,0.19,37.1,150,993,0.5,0.139,1330
7/23/14 10:30,26.1,25.3,1340,,7.5,8.7,0.4,182,0.42,0.01,0.021,352,109,19.7,164,5.06,18.1,539,0.16,39.1,150,992,0.536,0.182,1340
7/13/15 0:00,,,,,,,,,,,,,,,,,,,,,,,,,
7/17/15 11:00,26.3,29.8,1360,,7.5,9.7,0.5,181,0.42,0.009,0.027,372,115,20.5,187,5.73,17.8,536,0.15,39.4,150,1020,0.539,0.137,1370
7/13/16 9:00,26.2,24.6,1370,,7.5,8.2,0.4,180,0.41,0.01,0.025,353,109,19.7,183,5.09,18.5,545,0.15,38.5,148,991,0.527,0.134,1370
7/14/17 7:45,26,28.2,1370,,7.5,9.8,0.4,183,0.41,0.014,0.024,354,109,19.7,171,5.09,18.1,542,0.15,39.8,151,1010,0.525,0.156,1370